crop,step,tag,episode,twin,free_at_60,free_at_1200,free_crosses_twin,block_frac_at_60,block_frac_at_1200,block_frac_zero,u_anom_at_60,u_anom_at_1200,u_anom_zero,calm_reachable,p_trade_at_60,hypothetical_jump
wheat,14,2006-08a,2007/08,322.3564228787537,300.48699800996394,311.85500094134744,False,0.0,0.0,True,0.012970448393910206,0.02631814187643955,False,False,162.54370920111938,12.495642699718811
wheat,15,2006-08b,2007/08,312.2521688583136,265.37572352896433,276.79992027402,False,0.0,0.0,True,0.0,0.0,True,False,155.51051072759788,14.21877632573158
wheat,16,2006-09a,2007/08,134.21879584628874,107.67681470844013,119.0089210217696,False,0.0,0.0,True,0.021794312537176952,0.0,False,False,150.24425870183782,15.509008072042793
wheat,17,2006-09b,2007/08,111.70954945492457,70.30695774183732,81.48065316530551,False,0.0,0.0,True,0.09154615116231457,0.02298074020946267,False,False,148.23107620826363,16.002237782968468
wheat,18,2006-10a,2007/08,58.239940514326804,32.917398416308345,44.35871703501766,False,0.0,0.0,True,0.1345756112807825,0.03177327224983928,False,False,147.46256628839166,16.190522713337103
wheat,19,2006-10b,2007/08,54.00479851560095,28.207225635021473,39.739329847403155,False,0.0,0.0,True,0.18583853640240158,0.07880020930014967,False,False,153.45943204641958,14.721290602620263
wheat,20,2006-11a,2007/08,53.20743321903092,26.8427694935898,38.45961858937909,False,0.0,0.0,True,0.26072084561010966,0.11508788332287087,False,False,168.7719716338764,10.96971840369334
wheat,21,2006-11b,2007/08,53.3961014877477,26.32942691271515,38.03394599807231,False,0.0,0.0,True,0.28882222898039256,0.15879731920416773,False,False,173.99912798143853,9.689065098540619
wheat,22,2006-12a,2007/08,50.92315271949656,23.4683433753122,35.177865723969376,False,0.0,0.0,True,0.09062836342998476,0.02976165000277009,False,False,185.2439682406878,6.934079235024551
wheat,23,2006-12b,2007/08,53.74224263401143,25.89188853553594,37.62912861597337,False,0.0,0.0,True,0.09931421964687553,0.052955916478078846,False,False,191.73883225401804,5.342837551758642
wheat,24,2007-01a,2007/08,54.43373169317087,27.298166486928864,38.981215151041226,False,0.0,0.0,True,0.16068815874764375,0.08920077611313659,False,False,197.671202683748,3.8894067964748023
wheat,25,2007-01b,2007/08,54.98656629825297,29.620054537664288,40.434144212084306,False,0.0,0.0,True,0.22032396527685405,0.14070198184631744,False,False,199.72338631949467,3.3866218057168678
wheat,26,2007-02a,2007/08,47.214681246385965,26.1842258610244,36.06257909858189,False,0.0006844420155847013,0.0007798309449348189,False,0.22446596745072522,0.14972054657512945,False,False,204.7716836798171,2.149788952437871
wheat,27,2007-02b,2007/08,45.437216581560506,26.982820108780317,36.825690754419526,False,0.000672966547573202,0.0007531813755096169,False,0.1468678411819746,0.08587986522780244,False,False,216.3834469271837,0.6950930431669484
wheat,28,2007-03a,2007/08,41.99931120846223,36.2295715091838,47.127731291435865,True,0.0009911004891561734,0.0010538001084512212,False,0.24189954645885314,0.10717459270039809,False,False,231.9223713125865,4.502129517590633
wheat,29,2007-03b,2007/08,45.29291791931783,29.10753820866644,38.64728491767312,False,0.0011554127942298654,0.0012039002337375724,False,0.25934827370260793,0.10903278926547078,False,False,257.8996268452381,10.866557123090276
wheat,30,2007-04a,2007/08,52.18077704630193,30.868195119176484,37.64560851851188,False,0.0013553218460585568,0.0013138315028359518,False,0.41868262518597077,0.38229231789804485,False,False,267.949179515011,13.328697527184632
wheat,31,2007-04b,2007/08,60.81915175622743,31.034634909365494,37.37265189913715,False,0.0013617855197964608,0.0013493874485177705,False,0.10341790090656755,0.007064085201283765,False,False,278.9127586646273,16.014774418840624
wheat,32,2007-05a,2007/08,77.54150110869185,42.86179801195301,49.69683070336182,False,0.0836067752826586,0.0829856443611291,False,0.0,0.0,True,False,298.88054559167705,20.906882215967812
