crop,country,n_withhold_steps,n_no_cut,n_ask_at_clip,median_r_step,p10_r_step,p90_r_step,min_r_step,max_r_step,share_r_negative,share_r_below_carry,median_cy_usd_t,median_cy_frac,mean_cover_mmt
maize,China,93,78,0,0.010492384357668305,-0.037236284956872014,0.035101415502407286,-0.07879278555403968,0.6321349672281174,0.3118279569892473,0.4731182795698925,-0.009920820731707636,-6.056664065410366e-05,56.515775576730476
maize,Egypt,83,42,0,0.009277484080989495,-0.015799145822703697,0.029962293537908816,-0.08482652591998874,0.6445068728950296,0.27710843373493976,0.4457831325301205,0.03632038589856279,0.00017851880209980946,1.8316457755688702
maize,Mexico,93,93,0,0.005718993876903777,-0.01813660755474509,0.03154957433561639,-0.024806452267818746,0.6178583485999452,0.3548387096774194,0.5483870967741935,0.7672009560612167,0.0038323550158526746,13.378434924774625
maize,Nigeria,95,95,0,0.002505304417538934,-0.019363207511450355,0.03438247409605722,-0.09613607280786163,0.7278516929993293,0.4,0.6105263157894737,1.4334607915573372,0.008509084593061185,3.465818814745391
maize,RestOfWorld,74,74,0,0.009231277821632577,-0.019027975608894198,0.035627418088678135,-0.024384242037907122,0.6467730302883576,0.3783783783783784,0.4594594594594595,0.241282039562563,0.0011606186093080033,38.99656698108837
maize,Indonesia,88,88,0,0.0061989707736687105,-0.05422939134163375,0.024264004381427194,-0.08635027854615918,0.07720439642490029,0.3977272727272727,0.5340909090909091,0.7090160301565902,0.0043914034849304,2.3855761876698507
rice,USA,136,136,35,0.0,-0.04408576006830078,0.03911730885073361,-0.0669563734546017,0.2832853081909632,0.39705882352941174,0.6102941176470589,3.4774459522249117,0.0036636546546237746,1.203626640134828
rice,Russia,92,92,12,-0.007222193134403032,-0.042212569911707666,0.04266581335106997,-0.08365271729718649,0.18851865795146616,0.5543478260869565,0.6630434782608695,7.004237228510192,0.01208350946707749,0.18200200170673292
rice,EU,87,87,8,-0.007745310068217215,-0.04199825778054391,0.0396528968525666,-0.08624613941655812,0.19196572770802045,0.5632183908045977,0.6551724137931034,10.124997068258608,0.01227729502116308,0.6282759672159585
rice,Kazakhstan,49,49,6,-0.013554716894098262,-0.04247279276564386,0.026501064623390025,-0.05603955624583412,0.17095604823345978,0.5918367346938775,0.7346938775510204,13.344919174020674,0.017891682891044668,0.08686355223832996
rice,India,143,42,53,0.0,-0.04868037283900166,0.040522319689278066,-0.08559264295543345,0.3303340758682265,0.36363636363636365,0.6923076923076923,3.4774459522249117,0.0036636546546237746,20.179100137777542
rice,Thailand,142,142,48,0.0,-0.04955959528413092,0.0397605369004477,-0.0665692650408225,0.3204868973895687,0.4154929577464789,0.6619718309859155,3.4774459522249117,0.0036636546546237746,2.308421372910436
rice,Vietnam,133,21,25,0.0,-0.04463567456552751,0.04498712980485505,-0.07161187598364316,0.3112405849923816,0.43609022556390975,0.5939849624060151,3.4774459522249117,0.0036636546546237746,5.453879701707705
rice,China,136,42,20,0.0,-0.03667488248876383,0.04101075292222811,-0.06714599500231666,0.21100857673159235,0.41911764705882354,0.5735294117647058,3.4098258121551055,0.0036636546546237746,26.30651788318476
rice,Egypt,126,44,24,0.0,-0.039623934541614114,0.039463325712873365,-0.07040352874337374,0.276673895198418,0.42857142857142855,0.5952380952380952,3.4774459522249117,0.0036636546546237746,1.015246735473752
rice,Nigeria,87,87,0,0.0007826863736442036,-0.03220464278688524,0.030988238827795823,-0.09240879718436068,0.04238206616685147,0.4827586206896552,0.5632183908045977,2.206230697223134,0.005493146381061161,0.8355787940427974
rice,RestOfWorld,131,131,12,0.0012642926085209005,-0.03385003221759331,0.035761293733255206,-0.07347571498168792,0.1916629151475009,0.4198473282442748,0.5419847328244275,1.867890602594855,0.0036636546546237746,18.707909037539686
rice,Brazil,95,95,26,0.0,-0.036794329234658044,0.09599346619422026,-0.0530747698003603,0.27592479180447627,0.47368421052631576,0.7052631578947368,3.4774459522249117,0.0036636546546237746,1.364956867615267
rice,Argentina,84,10,47,0.0,-0.017885600301892846,0.11463989580877235,-0.07444305778373639,0.3280033226545713,0.2619047619047619,0.7142857142857143,3.4774459522249117,0.0036636546546237746,0.07952199423049697
rice,Indonesia,128,42,42,0.0,-0.03300279256344402,0.049929975177844664,-0.06781344654614352,0.34190252802033094,0.453125,0.75,3.4774459522249117,0.0036636546546237746,6.101787910143422
rice,Mexico,26,26,0,-0.010741090681057552,-0.027099578460622553,0.035081504934159846,-0.03575381802092459,0.04231734922915198,0.6538461538461539,0.6538461538461539,7.812615884449201,0.014634733169026276,0.09329590533205562
rice,Ukraine,4,4,0,-0.010858806429496604,-0.015875095008370022,-0.009156724716948127,-0.01771152421365607,-0.008740669882944196,1.0,1.0,13.350885241426454,0.014579587257154589,0.0530439689745795
rice,Australia,25,25,16,0.0,-0.022704673348278703,0.13704939518453835,-0.03258262813695589,0.2056036366745284,0.36,0.84,3.4774459522249117,0.0036636546546237746,0.07629289156120712
