ISO3 Code,Area,Area Code,Year,Production,Domestic supply quantity,Import Quantity,Export Quantity,Stock Variation,Source
CAF,Central African Republic,37,2009,0.0,32.0,32.0,0.0,0.0,FBS
CAF,Central African Republic,37,2010,0.0,37.0,37.0,0.0,0.0,FBS
CAF,Central African Republic,37,2011,0.0,44.0,44.0,0.0,0.0,FBS
CAN,Canada,33,2006,25265.0,7945.0,548.0,19318.0,-1450.0,FBS
CAN,Canada,33,2007,20090.0,6325.0,696.0,18377.0,-3915.0,FBS
CAN,Canada,33,2008,28619.0,6463.0,820.0,16638.0,6338.0,FBS
CAN,Canada,33,2009,26950.0,7210.0,934.0,20224.0,450.0,FBS
CAN,Canada,33,2010,23300.0,6276.0,990.0,19404.0,-1390.0,FBS
CAN,Canada,33,2011,25288.0,7557.0,931.0,17345.0,1316.0,FBS
CHE,Switzerland,211,2006,544.0,908.0,434.0,70.0,0.0,FBS
CHE,Switzerland,211,2007,543.0,994.0,528.0,77.0,0.0,FBS
CHE,Switzerland,211,2008,548.0,1073.0,610.0,85.0,0.0,FBS
CHE,Switzerland,211,2009,550.0,1088.0,627.0,88.0,0.0,FBS
CHE,Switzerland,211,2010,524.0,1040.0,607.0,92.0,0.0,FBS
CHE,Switzerland,211,2011,553.0,1168.0,714.0,99.0,0.0,FBS
CHL,Chile,40,2006,1404.0,2106.0,1085.0,61.0,322.0,FBS
CHL,Chile,40,2007,1096.0,2010.0,1145.0,136.0,95.0,FBS
CHL,Chile,40,2008,1238.0,1985.0,853.0,145.0,-40.0,FBS
CHL,Chile,40,2009,1145.0,2002.0,742.0,146.0,-260.0,FBS
CHL,Chile,40,2010,1524.0,2070.0,747.0,176.0,25.0,FBS
CHL,Chile,40,2011,1576.0,2112.0,780.0,215.0,29.0,FBS
CHN,"China, mainland",41,2006,108466.0,104370.0,649.0,1945.0,2800.0,FBS
CHN,"China, mainland",41,2007,109298.0,104645.0,130.0,3636.0,1148.0,FBS
CHN,"China, mainland",41,2008,112464.0,104147.0,80.0,661.0,7735.0,FBS
CHN,"China, mainland",41,2009,115115.0,105677.0,942.0,570.0,9809.0,FBS
CHN,"China, mainland",41,2010,115181.0,109768.0,1291.0,615.0,6090.0,FBS
CHN,"China, mainland",41,2011,117410.0,124045.0,1338.0,693.0,-5991.0,FBS
CIV,C�te d'Ivoire,107,2006,0.0,319.0,368.0,49.0,0.0,FBS
CIV,C�te d'Ivoire,107,2007,0.0,322.0,380.0,58.0,0.0,FBS
CIV,C�te d'Ivoire,107,2008,0.0,270.0,318.0,48.0,0.0,FBS
CIV,C�te d'Ivoire,107,2009,0.0,349.0,512.0,112.0,50.0,FBS
CIV,C�te d'Ivoire,107,2010,0.0,373.0,540.0,131.0,35.0,FBS
CIV,C�te d'Ivoire,107,2011,0.0,400.0,473.0,128.0,-55.0,FBS
