area_code,area,year,unit,domestic_supply,exports,feed,food,imports,losses,production,seed,stock_variation
117,Republic of Korea,2010,1000 t,4523.0,85.0,1965.0,2526.0,4634.0,30.0,39.0,2.0,-65.0
117,Republic of Korea,2011,1000 t,5325.0,90.0,2870.0,2424.0,4875.0,30.0,44.0,1.0,497.0
118,Kuwait,2006,1000 t,264.0,13.0,,240.0,357.0,25.0,1.0,,-80.0
118,Kuwait,2007,1000 t,286.0,12.0,,259.0,287.0,26.0,0.0,,11.0
118,Kuwait,2008,1000 t,291.0,3.0,,263.0,336.0,27.0,0.0,,-42.0
118,Kuwait,2009,1000 t,290.0,54.0,,258.0,394.0,32.0,0.0,,-50.0
118,Kuwait,2010,1000 t,313.0,52.0,,279.0,315.0,34.0,0.0,,50.0
118,Kuwait,2011,1000 t,343.0,56.0,,306.0,388.0,37.0,0.0,,12.0
119,Latvia,2006,1000 t,483.0,225.0,213.0,139.0,83.0,18.0,598.0,52.0,26.0
119,Latvia,2007,1000 t,431.0,309.0,155.0,138.0,109.0,11.0,807.0,60.0,-176.0
119,Latvia,2008,1000 t,374.0,913.0,85.0,138.0,299.0,10.0,990.0,65.0,-1.0
119,Latvia,2009,1000 t,413.0,1145.0,142.0,134.0,526.0,8.0,1036.0,73.0,-4.0
119,Latvia,2010,1000 t,485.0,1108.0,209.0,136.0,390.0,7.0,1035.0,78.0,167.0
119,Latvia,2011,1000 t,490.0,530.0,211.0,145.0,202.0,9.0,937.0,79.0,-119.0
12,Bahamas,2006,1000 t,18.0,0.0,,13.0,18.0,,,,0.0
12,Bahamas,2007,1000 t,18.0,0.0,,13.0,19.0,,,,-1.0
12,Bahamas,2008,1000 t,18.0,0.0,,13.0,17.0,,,,1.0
12,Bahamas,2009,1000 t,25.0,0.0,,14.0,26.0,,,,-1.0
12,Bahamas,2010,1000 t,21.0,0.0,,14.0,16.0,,,,4.0
12,Bahamas,2011,1000 t,19.0,0.0,,14.0,19.0,,,,0.0
120,Lao People's Democratic Republic,2006,1000 t,13.0,0.0,,13.0,13.0,,,,
120,Lao People's Democratic Republic,2007,1000 t,9.0,0.0,,9.0,9.0,,,,
120,Lao People's Democratic Republic,2008,1000 t,8.0,0.0,,8.0,8.0,,,,
120,Lao People's Democratic Republic,2009,1000 t,10.0,0.0,,10.0,10.0,,,,
120,Lao People's Democratic Republic,2010,1000 t,12.0,0.0,,12.0,12.0,,,,
120,Lao People's Democratic Republic,2011,1000 t,13.0,0.0,,13.0,13.0,,,,
121,Lebanon,2006,1000 t,583.0,10.0,48.0,484.0,362.0,17.0,153.0,8.0,78.0
121,Lebanon,2007,1000 t,552.0,25.0,48.0,460.0,451.0,16.0,116.0,8.0,10.0
121,Lebanon,2008,1000 t,548.0,59.0,45.0,468.0,473.0,17.0,144.0,6.0,-10.0
121,Lebanon,2009,1000 t,565.0,33.0,51.0,482.0,596.0,19.0,111.0,5.0,-110.0
121,Lebanon,2010,1000 t,616.0,50.0,52.0,533.0,573.0,18.0,83.0,6.0,10.0
121,Lebanon,2011,1000 t,632.0,22.0,55.0,546.0,515.0,18.0,125.0,6.0,15.0
122,Lesotho,2006,1000 t,105.0,0.0,,86.0,71.0,18.0,6.0,1.0,28.0
122,Lesotho,2007,1000 t,104.0,0.0,,87.0,96.0,16.0,4.0,1.0,5.0
122,Lesotho,2008,1000 t,104.0,0.0,,87.0,100.0,15.0,4.0,2.0,0.0
122,Lesotho,2009,1000 t,104.0,0.0,,87.0,97.0,15.0,7.0,2.0,0.0
122,Lesotho,2010,1000 t,106.0,0.0,,88.0,86.0,16.0,20.0,1.0,0.0
122,Lesotho,2011,1000 t,101.0,0.0,,90.0,86.0,9.0,20.0,1.0,-5.0
123,Liberia,2006,1000 t,83.0,0.0,,82.0,101.0,2.0,,,-18.0
123,Liberia,2007,1000 t,76.0,0.0,,75.0,86.0,1.0,,,-10.0
123,Liberia,2008,1000 t,68.0,0.0,,67.0,72.0,1.0,,,-4.0
123,Liberia,2009,1000 t,75.0,0.0,,74.0,72.0,1.0,,,4.0
123,Liberia,2010,1000 t,67.0,0.0,,66.0,57.0,1.0,,,10.0
123,Liberia,2011,1000 t,69.0,0.0,,68.0,47.0,1.0,,,22.0
126,Lithuania,2006,1000 t,672.0,466.0,162.0,379.0,140.0,21.0,810.0,86.0,188.0
126,Lithuania,2007,1000 t,911.0,545.0,329.0,397.0,105.0,37.0,1391.0,89.0,-40.0
126,Lithuania,2008,1000 t,674.0,1267.0,130.0,369.0,173.0,30.0,1723.0,84.0,45.0
126,Lithuania,2009,1000 t,781.0,1472.0,198.0,369.0,109.0,31.0,2100.0,101.0,44.0
126,Lithuania,2010,1000 t,866.0,1340.0,249.0,360.0,180.0,24.0,1710.0,109.0,315.0
126,Lithuania,2011,1000 t,921.0,1058.0,255.0,356.0,151.0,30.0,1869.0,122.0,-40.0
128,"China, Macao SAR",2006,1000 t,27.0,1.0,,23.0,28.0,,,,0.0
128,"China, Macao SAR",2007,1000 t,33.0,1.0,,26.0,33.0,,,,0.0
128,"China, Macao SAR",2008,1000 t,26.0,1.0,,22.0,27.0,,,,0.0
128,"China, Macao SAR",2009,1000 t,27.0,1.0,,26.0,28.0,,,,0.0
128,"China, Macao SAR",2010,1000 t,30.0,0.0,,29.0,30.0,,,,0.0
128,"China, Macao SAR",2011,1000 t,34.0,0.0,,29.0,34.0,,,,0.0
129,Madagascar,2006,1000 t,137.0,0.0,,135.0,124.0,1.0,10.0,0.0,3.0
129,Madagascar,2007,1000 t,176.0,0.0,,174.0,175.0,2.0,11.0,0.0,-10.0
129,Madagascar,2008,1000 t,129.0,0.0,,128.0,115.0,1.0,10.0,0.0,4.0
129,Madagascar,2009,1000 t,125.0,0.0,,123.0,107.0,1.0,11.0,1.0,6.0
129,Madagascar,2010,1000 t,164.0,0.0,,162.0,152.0,1.0,12.0,0.0,0.0
129,Madagascar,2011,1000 t,186.0,0.0,,184.0,176.0,2.0,10.0,0.0,0.0
130,Malawi,2006,1000 t,89.0,2.0,,88.0,91.0,1.0,2.0,0.0,-3.0
130,Malawi,2007,1000 t,91.0,14.0,,90.0,98.0,1.0,5.0,0.0,3.0
130,Malawi,2008,1000 t,106.0,9.0,,104.0,226.0,2.0,2.0,0.0,-113.0
130,Malawi,2009,1000 t,94.0,4.0,,92.0,156.0,1.0,3.0,0.0,-60.0
130,Malawi,2010,1000 t,171.0,17.0,,169.0,186.0,2.0,2.0,0.0,0.0
130,Malawi,2011,1000 t,149.0,18.0,,147.0,165.0,2.0,2.0,0.0,0.0
131,Malaysia,2006,1000 t,1758.0,211.0,220.0,1484.0,2219.0,,,,-250.0
131,Malaysia,2007,1000 t,1751.0,227.0,180.0,1516.0,2268.0,,,,-290.0
131,Malaysia,2008,1000 t,1621.0,236.0,80.0,1488.0,1208.0,,,,650.0
131,Malaysia,2009,1000 t,1607.0,242.0,70.0,1487.0,1259.0,,,,590.0
