year,month,year_frac,baseline,prod_anom,full_model,observed
2008,6,2008.4583333333312,125.09454060548215,131.90939749012645,158.0916366083797,155.59756824671126
2008,7,2008.5416666666645,110.16949152542367,109.84405416900782,123.74299372982416,155.9057412927518
2008,8,2008.6249999999977,103.69628295438258,100.31412189598153,116.4928931238741,149.8305084745762
2008,9,2008.708333333331,99.63328169015911,94.67757955367968,110.53774982099623,141.5451283186479
2008,10,2008.7916666666642,95.55163268982969,90.42372881355928,102.89574197005619,122.78951958899637
2008,11,2008.8749999999975,90.67796610169486,87.9031804244675,99.7268481519021,109.49588430660064
2008,12,2008.9583333333308,92.78658542936223,92.0338983050847,101.78016418598818,105.72008739853126
2009,1,2009.041666666664,97.77251526789571,95.18790291634689,104.1820539628236,108.03243606670388
2009,2,2009.1249999999973,101.68219881827298,98.32098029071797,106.26588792569282,110.93220338983045
2009,3,2009.2083333333305,103.15141599537438,106.31279727537212,116.39405862422036,106.07610574433048
2009,4,2009.2916666666638,115.41203655874676,124.03652645176253,135.4217466144921,108.98305084745758
2009,5,2009.374999999997,127.13504143187805,126.52542372881351,143.253609103019,114.7683715603614
2009,6,2009.4583333333303,125.93998727293655,122.71842437327481,132.029758242356,120.19418948301396
2009,7,2009.5416666666636,114.63819520871375,106.31145137856504,119.10050260538512,109.98419703799487
2009,8,2009.6249999999968,103.29244265132445,103.11664818251995,107.2986487704123,100.70613020468657
2009,9,2009.70833333333,97.960772702078,96.60661682963737,100.95360278445473,94.43189145632321
2009,10,2009.7916666666633,94.58891012479648,92.67809111778217,96.58316790801719,89.45775213473132
2009,11,2009.8749999999966,90.8092262368633,88.03720093479811,93.62973309483371,94.72924956329733
2009,12,2009.9583333333298,95.04403487294812,90.08474576271183,94.39493994698375,97.44578740461085
2010,1,2010.041666666663,97.13447099030329,91.9610227342529,98.94018003912501,94.9881298081199
2010,2,2010.1249999999964,98.7999737549085,94.58985675356598,101.7033242177798,89.77559370992518
2010,3,2010.2083333333296,102.28373281574622,98.30508474576266,106.26682602917923,88.58477779290367
2010,4,2010.2916666666629,110.16425396613234,106.78672002818159,117.58212698306613,88.05084745762707
2010,5,2010.3749999999961,122.94724809065161,115.45988244020361,128.92359624419655,84.21532408277709
2010,6,2010.4583333333294,123.44753370123549,111.81873282093164,121.31378663791017,79.10026625940527
2010,7,2010.5416666666626,108.80722767447931,107.38824325400643,110.42246174494385,80.33734473453669
2010,8,2010.624999999996,109.13523080929119,104.12290590788794,109.55623596762717,99.60424614317631
2010,9,2010.7083333333292,100.18091950396825,102.43699718343645,110.27486722334311,116.75205514696016
2010,10,2010.7916666666624,95.21667531594032,98.98305084745758,105.9054135132116,123.92728302779221
2010,11,2010.8749999999957,90.34425108798564,95.18002759970013,102.29867166749672,124.40151162387866
2010,12,2010.958333333329,93.66250966538512,96.94585492005676,105.46061255110926,132.40976509348212
2011,1,2011.0416666666622,97.50022110666768,101.28228894333758,109.95696379864081,144.02431819547485
2011,2,2011.1249999999955,98.94528268322682,104.50026964436448,115.92252874196544,154.2653816519589
2011,3,2011.2083333333287,104.1525423728813,109.2276364879975,130.4864645229311,148.28893201675444
2011,4,2011.291666666662,112.72207548296407,123.4569770176904,157.91247594117814,147.26046128993048
2011,5,2011.3749999999952,125.88694864417218,140.09022228517367,166.15970427947815,152.42512699155145
2011,6,2011.4583333333285,126.25464528656616,134.68272385586238,143.27308031012672,154.8424551448369
2011,7,2011.5416666666617,109.04930010794621,115.16690709963318,127.08403235263735,139.65624460346103
2011,8,2011.624999999995,105.38509922291219,103.59046504312767,114.34449364255806,139.73827613044665
2011,9,2011.7083333333283,98.4241268622388,99.6210837187536,104.64348998491008,141.54072504902695
