h,a,b,abs_cos,norm_a,norm_b,both_active,sign
0.1,inv_eta,unmet_kappa,0.9244860375916495,2.2137263062575214,0.38235103650356833,True,1
0.1,inv_eta,block_kappa,0.7566801656325637,2.2137263062575214,0.7322390676685374,True,-1
0.1,inv_eta,ask_alpha,0.9452152884416014,2.2137263062575214,2.182261306388347,True,1
0.1,inv_eta,ask_target_fill,0.8889285854098048,2.2137263062575214,2.233396141790155,True,1
0.1,inv_eta,ask_comp_elast,0.0,2.2137263062575214,0.0,False,1
0.1,inv_eta,ask_beta,0.4035814312728715,2.2137263062575214,0.4583430835135448,True,-1
0.1,inv_eta,ask_rival,0.7844984041927933,2.2137263062575214,2.2108487903270206,True,-1
0.1,inv_eta,foresight_phi,0.7802763487584349,2.2137263062575214,2.0004328241706433,True,1
0.1,inv_eta,harvest_pulse_frac,0.17039952868796476,2.2137263062575214,1.6175649251524644,True,1
0.1,inv_eta,residual_subst,0.011391420557726704,2.2137263062575214,0.3767320171620617,True,-1
0.1,smooth,trade_w,0.5776192205217395,2.3516236296667326,4.517799684530213,True,1
0.1,smooth,unmet_kappa,0.588381227856983,2.3516236296667326,0.38235103650356833,True,-1
0.1,smooth,block_kappa,0.050331736632147656,2.3516236296667326,0.7322390676685374,True,1
0.1,smooth,ask_alpha,0.5330626288265092,2.3516236296667326,2.182261306388347,True,-1
0.1,smooth,ask_target_fill,0.4643351673715901,2.3516236296667326,2.233396141790155,True,-1
0.1,smooth,ask_comp_elast,0.0,2.3516236296667326,0.0,False,1
0.1,smooth,ask_beta,0.29309339978310145,2.3516236296667326,0.4583430835135448,True,1
0.1,smooth,ask_rival,0.07136391432860702,2.3516236296667326,2.2108487903270206,True,1
0.1,smooth,foresight_phi,0.22745678057677246,2.3516236296667326,2.0004328241706433,True,-1
0.1,smooth,harvest_pulse_frac,0.15372482415713024,2.3516236296667326,1.6175649251524644,True,-1
0.1,smooth,residual_subst,0.2232631664233921,2.3516236296667326,0.3767320171620617,True,1
0.1,trade_w,unmet_kappa,0.5646679290646938,4.517799684530213,0.38235103650356833,True,-1
0.1,trade_w,block_kappa,0.5370810184557879,4.517799684530213,0.7322390676685374,True,1
0.1,trade_w,ask_alpha,0.6083567417370989,4.517799684530213,2.182261306388347,True,-1
0.1,trade_w,ask_target_fill,0.5570886872865634,4.517799684530213,2.233396141790155,True,-1
0.1,trade_w,ask_comp_elast,0.0,4.517799684530213,0.0,False,1
0.1,trade_w,ask_beta,0.10672943212548988,4.517799684530213,0.4583430835135448,True,-1
0.1,trade_w,ask_rival,0.5639608409673839,4.517799684530213,2.2108487903270206,True,1
