scenario,region,year,field,model,usda
harvest_amis,Russia,2008,production,71.05799027862706,63.765
harvest_amis,Russia,2009,production,68.90178691255292,61.77
harvest_amis,Russia,2010,production,46.55336404516776,41.508
harvest_amis,Russia,2011,production,63.48280570763638,56.24
harvest_amis,USA,2006,consumption,14.343949412452446,30.94
harvest_amis,USA,2007,consumption,6.183772926694479,28.614
harvest_amis,USA,2008,consumption,6.031867558441262,34.64
harvest_amis,USA,2009,consumption,24.760615519639003,30.728
harvest_amis,USA,2010,consumption,34.92714889161209,29.424
harvest_amis,USA,2011,consumption,6.427191475263329,31.993
harvest_amis,USA,2006,ending_stocks,0.2789738164047592,12.414
harvest_amis,USA,2007,ending_stocks,0.3805184689578848,8.323
harvest_amis,USA,2008,ending_stocks,7.847899848536809,17.867
harvest_amis,USA,2009,ending_stocks,13.907342735228612,26.552
harvest_amis,USA,2010,ending_stocks,0.1141112863125215,23.487
harvest_amis,USA,2011,ending_stocks,0.3423279915116644,20.211
harvest_amis,USA,2006,production,52.180696126995905,49.217
harvest_amis,USA,2007,production,58.86768070867865,55.821
harvest_amis,USA,2008,production,71.95973198525209,68.363
harvest_amis,USA,2009,production,62.65064197359626,60.117000000000004
harvest_amis,USA,2010,production,60.88087041495165,58.868
harvest_amis,USA,2011,production,56.565757974274874,54.244
harvest_amis,Ukraine,2006,consumption,10.181657970942954,11.7
harvest_amis,Ukraine,2007,consumption,10.335520735836244,12.3
harvest_amis,Ukraine,2008,consumption,4.712739608090635,11.9
harvest_amis,Ukraine,2009,consumption,8.91532085091347,12.3
harvest_amis,Ukraine,2010,consumption,13.34057995839077,11.6
harvest_amis,Ukraine,2011,consumption,12.698312723969796,14.95
harvest_amis,Ukraine,2006,ending_stocks,0.5536172129251873,1.344
harvest_amis,Ukraine,2007,ending_stocks,0.6271030506799329,2.08
harvest_amis,Ukraine,2008,ending_stocks,7.773233467563412,3.101
harvest_amis,Ukraine,2009,ending_stocks,12.938970838815449,2.358
harvest_amis,Ukraine,2010,ending_stocks,8.89412615782371,3.341
harvest_amis,Ukraine,2011,ending_stocks,11.644822679430266,5.363
harvest_amis,Ukraine,2006,production,16.74484841758631,13.947000000000001
harvest_amis,Ukraine,2007,production,15.568476497120644,13.938
harvest_amis,Ukraine,2008,production,27.874048000401984,25.885
harvest_amis,Ukraine,2009,production,21.935746682354463,20.866
harvest_amis,Ukraine,2010,production,17.136164346654386,16.844
harvest_amis,Ukraine,2011,production,22.0194713718243,22.324
undisturbed,Argentina,2006,consumption,1.932452784650012,5.3500000000000005
undisturbed,Argentina,2007,consumption,1.1404879361250004,5.65
undisturbed,Argentina,2008,consumption,0.6671261254313461,5.325
undisturbed,Argentina,2009,consumption,2.7337854633467904,5.825
undisturbed,Argentina,2010,consumption,3.674862736302455,5.95
undisturbed,Argentina,2011,consumption,1.7332177085601863,5.95
undisturbed,Argentina,2006,ending_stocks,0.0291900570691081,0.587
undisturbed,Argentina,2007,ending_stocks,2.9530639267250084e-08,2.352
undisturbed,Argentina,2008,ending_stocks,2.577296714045829e-05,1.259
undisturbed,Argentina,2009,ending_stocks,0.7760008776862262,2.338
undisturbed,Argentina,2010,ending_stocks,0.6032444495812542,4.107
undisturbed,Argentina,2011,ending_stocks,2.2056812712722973e-05,0.736
undisturbed,Argentina,2006,production,13.866666666666667,16.3
undisturbed,Argentina,2007,production,13.866666666666667,18.6
undisturbed,Argentina,2008,production,13.866666666666667,11.0
undisturbed,Argentina,2009,production,13.866666666666667,12.0
undisturbed,Argentina,2010,production,13.866666666666667,17.2
undisturbed,Argentina,2011,production,13.866666666666667,15.5
undisturbed,Australia,2006,consumption,1.4779663081015693,7.4
undisturbed,Australia,2007,consumption,3.998892718569506,6.615
undisturbed,Australia,2008,consumption,3.2046273566318284,7.415
undisturbed,Australia,2009,consumption,2.170830778524604,5.17
undisturbed,Australia,2010,consumption,2.570384458794132,5.815
undisturbed,Australia,2011,consumption,2.4669953247345693,6.505
undisturbed,Australia,2006,ending_stocks,9.50176331437902e-06,4.1530000000000005
undisturbed,Australia,2007,ending_stocks,1.919460255808828,3.736
undisturbed,Australia,2008,ending_stocks,0.0094371637111416,3.109
undisturbed,Australia,2009,ending_stocks,0.0,5.067
undisturbed,Australia,2010,ending_stocks,5.173988815299069e-05,8.184000000000001
undisturbed,Australia,2011,ending_stocks,2.4893725223134417,7.051
undisturbed,Australia,2006,production,18.941,10.822000000000001
undisturbed,Australia,2007,production,18.941,13.569
undisturbed,Australia,2008,production,18.941,21.42
undisturbed,Australia,2009,production,18.941,21.834
undisturbed,Australia,2010,production,18.941,27.41
undisturbed,Australia,2011,production,18.941,29.905
undisturbed,Canada,2006,consumption,11.194932584960474,8.984
undisturbed,Canada,2007,consumption,11.394427640531449,6.853
undisturbed,Canada,2008,consumption,11.5559350669893,7.849
undisturbed,Canada,2009,consumption,11.627561662957596,7.241
undisturbed,Canada,2010,consumption,11.652479363088627,7.521
undisturbed,Canada,2011,consumption,11.394627529663287,9.824
undisturbed,Canada,2006,ending_stocks,12.247500116626355,6.865
undisturbed,Canada,2007,ending_stocks,13.323812283992952,4.366
undisturbed,Canada,2008,ending_stocks,13.090127482229809,6.6450000000000005
undisturbed,Canada,2009,ending_stocks,14.703153614726162,7.743
undisturbed,Canada,2010,ending_stocks,13.132511240264629,7.36
undisturbed,Canada,2011,ending_stocks,13.951919772999815,5.932
undisturbed,Canada,2006,production,25.21966666666666,25.265
undisturbed,Canada,2007,production,25.21966666666666,20.09
undisturbed,Canada,2008,production,25.21966666666666,28.619
undisturbed,Canada,2009,production,25.21966666666666,26.95
undisturbed,Canada,2010,production,25.21966666666666,23.3
undisturbed,Canada,2011,production,25.21966666666666,25.288
undisturbed,China,2006,consumption,69.83236045695911,102.482
undisturbed,China,2007,consumption,57.6859703349043,106.444
undisturbed,China,2008,consumption,59.052316541802426,105.939
undisturbed,China,2009,consumption,58.756007725977,108.951
undisturbed,China,2010,consumption,56.92056593627163,111.966
undisturbed,China,2011,consumption,57.89117727927422,123.974
undisturbed,China,2006,ending_stocks,12.814604707661044,38.568
undisturbed,China,2007,ending_stocks,12.870016698622502,39.274
undisturbed,China,2008,ending_stocks,12.215404791469611,46.433
undisturbed,China,2009,ending_stocks,12.06115010431516,54.231
undisturbed,China,2010,ending_stocks,12.138920501234086,58.81
undisturbed,China,2011,ending_stocks,12.602071656889397,55.835
undisturbed,China,2006,production,112.72966666666669,108.46600000000001
undisturbed,China,2007,production,112.72966666666669,109.492
