scenario,region,field,corr,mean_model,mean_usda,level_ratio,n_years
harvest_amis,Ukraine,consumption,0.3500772978744015,10.030688641357314,12.458333333333334,0.805138887600587,6
harvest_amis,Ukraine,ending_stocks,0.6568120233633779,7.071978901206326,2.9311666666666665,2.412683994270652,6
harvest_amis,Ukraine,production,0.9723171935705934,20.213125885990348,18.967333333333332,1.0656809542366006,6
undisturbed,Argentina,consumption,0.6518321233958317,1.9803221257359649,5.675,0.3489554406583198,6
undisturbed,Argentina,ending_stocks,0.693848218603692,0.2347472072745135,1.8965000000000003,0.12377917599499788,6
undisturbed,Argentina,production,4.339682895425675e-16,13.866666666666669,15.100000000000001,0.9183222958057395,6
undisturbed,Australia,consumption,0.07788398811938785,2.6482828242260346,6.486666666666667,0.40826559469055,6
undisturbed,Australia,ending_stocks,0.14820207874286623,0.7363885305808132,5.216666666666668,0.14116074068641785,6
undisturbed,Australia,production,,18.941,20.826666666666668,0.9094590268886042,6
undisturbed,Canada,consumption,-0.546793118432883,11.469993974698454,8.045333333333334,1.4256704476340472,6
undisturbed,Canada,ending_stocks,0.15288932774175612,13.40817075180662,6.485166666666667,2.06751367250494,6
undisturbed,Canada,production,0.0,25.219666666666658,24.918666666666667,1.0120792979827702,6
undisturbed,China,consumption,-0.5220862316610739,60.0230663791981,109.95933333333335,0.5458660448335272,6
undisturbed,China,ending_stocks,-0.7290574429873664,12.450361410031967,48.8585,0.25482488021596994,6
undisturbed,China,production,,112.72966666666669,113.55300000000001,0.9927493475880573,6
undisturbed,EU-27,consumption,0.11318123246654657,87.04620081672628,124.10316666666667,0.7014019315923414,6
undisturbed,EU-27,ending_stocks,0.4470037170552356,14.158875409515815,15.533999999999999,0.9114764651419992,6
undisturbed,EU-27,production,,137.4916666666667,135.499,1.014706135592637,6
undisturbed,Eastern Africa,consumption,-0.5118956834078352,6.670531911750217,6.970666666666666,0.9569431778524604,6
undisturbed,Eastern Africa,ending_stocks,-0.7068783767418901,2.7575037699999645,0.5405,5.101764606845448,6
undisturbed,Eastern Africa,production,,3.3143333333333334,3.4103333333333334,0.9718502590167138,6
undisturbed,India,consumption,-0.6777351620491402,87.53559456177435,77.0245,1.136464301122037,6
undisturbed,India,ending_stocks,-0.5942133148015332,0.5896732831565631,12.526666666666666,0.047073439315319036,6
undisturbed,India,production,-2.2191189610853064e-15,78.35199999999999,78.68150000000001,0.9958122303209773,6
undisturbed,Russia,consumption,0.015619346661638023,25.41806312175648,38.247,0.6645766497177943,6
undisturbed,Russia,ending_stocks,0.5829203693999406,2.495558823016372,9.872166666666667,0.25278734722364615,6
undisturbed,Russia,production,-1.4261771225820063e-16,58.300999999999995,52.92966666666667,1.1014805811485682,6
undisturbed,USA,consumption,-0.5214644383669602,20.139817814762736,31.0565,0.6484896177857369,6
undisturbed,USA,ending_stocks,0.2783866500117388,2.6780619057318646,18.142333333333333,0.147613973160299,6
undisturbed,USA,production,2.0098273727562187e-16,61.433666666666674,57.77166666666667,1.0633874736751003,6
undisturbed,Ukraine,consumption,0.40462509265803864,9.338280403197718,12.458333333333334,0.749560968818546,6
undisturbed,Ukraine,ending_stocks,0.01605555206361578,0.7021234661225702,2.9311666666666665,0.23953720343068297,6
undisturbed,Ukraine,production,,20.22966666666667,18.967333333333332,1.0665530209834455,6
