crop,year,country,my_month,model_stock,model_cons,psd_stock,psd_cons,stock_ratio,cons_ratio,psd_dstock,model_dstock,psd_dcons,model_dcons
wheat,2010,Nigeria,5,0.0,3.1181696867156967,0.2,3.5820000000000003,,0.8705108003114731,0.0,0.0,1.264679313459809,0.36222869865002977
wheat,2011,Nigeria,5,0.0,2.827519588881871,0.2,3.586,,0.7884884520027526,0.0,0.0,0.1204456489009202,-8.751884909178735
wheat,2006,RestOfWorld,5,0.0,157.87674938919918,33.51800000000006,165.92100000000005,0.0,0.951517586015026,,,,
wheat,2007,RestOfWorld,5,0.0,151.2096034370554,33.20699999999998,167.81500000000005,0.0,0.9010493903230066,-0.1745383526049305,0.0,1.0629441795294414,-3.741712768692973
wheat,2008,RestOfWorld,5,0.0,156.83365896465318,33.86900000000003,175.305,0.0,0.8946331192188082,0.37152536792425556,0.0,4.203512093281649,3.1563131406602087
wheat,2009,RestOfWorld,5,8.627181641942526,169.1106746401302,41.02200000000005,183.41899999999993,0.21030621719912523,0.9219910404054666,4.014382109912405,4.841717271407619,4.553711231627126,6.890064600971482
wheat,2010,RestOfWorld,5,10.396967006021033,172.97340440611956,37.521000000000015,184.4570000000001,0.2770972790176442,0.9377437798843061,-1.9648192040826815,0.993232867879428,0.5825427974402059,2.1678279418444992
wheat,2011,RestOfWorld,5,6.183579568081518,158.342073121446,39.47399999999996,192.18900000000014,0.15664942919596503,0.8238872834628719,1.0960559570332291,-2.3646228369906335,4.339326502704143,-8.211345526827216
wheat,2006,Russia,6,4.666884459563172,38.47929788411092,4.663,36.4,1.000833038722533,1.0571235682448055,,,,
wheat,2007,Russia,6,5.238993458148337,35.90689429926563,4.269,37.982,1.2272179569333186,0.9453660760166824,-1.0301461552540072,1.4958271199967705,4.136272125918375,-6.725765641345177
wheat,2008,Russia,6,6.403463202570756,34.09547189789468,10.944,38.9,0.5851117692407488,0.8764902801515343,17.45234920385913,3.0446041373765764,2.400188250058826,-4.736116300287467
wheat,2009,Russia,6,11.193891242201202,36.29935276555024,14.722,39.6,0.7603512594892815,0.9166503223623798,9.877898920176742,12.52497722600582,1.8302089052736237,5.762231985921919
wheat,2010,Russia,6,10.511030494852456,37.1284819184675,13.736,38.6,0.7652177122053331,0.9618777699084844,-2.577979972285405,-1.7853968869421033,-2.6145841503908804,2.1678279418444872
wheat,2011,Russia,6,9.256655322706006,33.98788859482191,10.899000000000001,38.0,0.8493123518401693,0.8944181209163661,-7.417575234658927,-3.279669443737939,-1.5687504902345317,-8.211345526827174
wheat,2006,Thailand,5,0.0,1.1944197654499633,0.504,1.1,0.0,1.0858361504090575,,,,
wheat,2007,Thailand,5,0.0,0.9662192379725913,0.47300000000000003,0.97,,0.9961023071882386,-2.2586520947176667,0.0,-9.471766848816038,-16.62663223878849
wheat,2008,Thailand,5,0.0,1.1051972349358676,0.437,1.02,,1.0835267009175173,-2.622950819672134,0.0,3.6429872495446305,10.125901418089347
wheat,2009,Thailand,5,0.0,1.297129291740962,0.647,1.25,0.0,1.0377034333927697,15.300546448087434,0.0,16.757741347905284,13.984120714396678
