crop,year,country,my_month,model_stock,model_cons,psd_stock,psd_cons,stock_ratio,cons_ratio,psd_dstock,model_dstock,psd_dcons,model_dcons
rice,2007,India,9,22.732920300423643,83.52338627647613,13.0,90.458,1.748686176955665,0.9233388564469271,1.7533508172066627,4.384173080575271,4.202458041495959,-6.293964365043167
rice,2008,India,9,29.591225607656597,76.45122593879569,19.0,91.08200000000001,1.5574329267187683,0.8393670092751112,6.700703760025462,7.659245359929738,0.6968731910426585,-7.898075227699715
rice,2009,India,9,26.928569702373334,76.82993446164491,20.5,85.501,1.313588765969431,0.8985852149290056,1.6751759400063655,-2.973611406030926,-6.232771280783687,0.42293560383491297
rice,2010,India,9,27.151695219788117,76.4518717549232,23.5,90.196,1.1553912859484305,0.8476193152126835,3.350351880012731,0.24918299891647672,5.243300692219917,-0.4222143667425907
rice,2011,India,9,30.352231735690463,76.76623646379471,25.1,93.325,1.2092522603860743,0.8225688343294371,1.7868543360067914,3.574307844367607,3.494417010853284,0.3510774644591044
rice,2006,Indonesia,12,2.0816681711721685e-17,29.946755250167527,4.607,35.9,4.518489627028801e-18,0.8341714554364213,,,,
rice,2007,Indonesia,12,1.8545802179006217,28.60951263098972,5.607,36.35,0.33076158692716634,0.7870567436310789,2.6835791790036767,4.97691285855021,1.207610630551662,-3.5885964501019068
rice,2008,Indonesia,12,4.875991958343972,28.171334357051865,7.057,37.1,0.6909440213042329,0.7593351578720179,3.8911898095553314,8.108197637851037,2.0126843842527573,-1.1758860926313952
rice,2009,Indonesia,12,4.52652688154743,31.413578858328542,6.577,38.0,0.6882358037931322,0.8266731278507511,-1.2881180059217658,-0.9378172038801208,2.415221261103305,8.700819836865248
rice,2010,Indonesia,12,4.330158359852493,30.937258278944054,7.131,38.044000000000004,0.6072301724656419,0.8131967794906964,1.4867028651680376,-0.5269704762322662,0.1180774838761726,-1.2782439893671804
rice,2011,Indonesia,12,5.226983910002155,30.842551379486935,7.4030000000000005,38.188,0.7060629352967925,0.807650345121162,0.7299335366890006,2.406702373580152,0.386435401776525,-0.25415346349111906
rice,2006,Kazakhstan,8,0.001192899509242634,0.16926777851207336,0.0,0.17400000000000002,,,,,,
rice,2007,Kazakhstan,8,0.0013200848890800717,0.16241411059871272,0.0,0.179,,,,,,
rice,2008,Kazakhstan,8,0.0012915764240738524,0.15525694550001218,0.0,0.197,,,,,,
rice,2009,Kazakhstan,8,0.001370465099847674,0.14863068883779912,0.0,0.17400000000000002,,,,,,
rice,2010,Kazakhstan,8,0.001275958125184314,0.15510251036022188,0.0,0.195,,,,,,
rice,2011,Kazakhstan,8,0.001335056698939927,0.16017464840088422,0.0,0.202,,,,,,
rice,2006,Mexico,8,0.01902935779191816,0.42069954176901136,0.14300000000000002,0.794,,0.5298482893816264,,,,
rice,2007,Mexico,8,0.01902685583230704,0.41729069860544526,0.193,0.725,,0.5755733773868211,6.392499467291708,-0.00031987550962517416,-8.821649264862568,-0.43582056214354564
rice,2008,Mexico,8,0.01903098581096856,0.44885133317061865,0.166,0.766,,0.5859677978728702,-3.451949712337523,0.0005280177278736538,5.2418495631792075,4.0350267929051835
rice,2009,Mexico,8,0.019052687319881162,0.4754002293788431,0.149,0.801,,0.5935084012220263,-2.1734498188791833,0.002774537683264692,4.4747496271042015,3.394276097365151
rice,2010,Mexico,8,0.019052158027099086,0.5021711395897175,0.224,0.781,,0.6429848138152593,9.588749200937567,-6.767007654917635e-05,-2.5569997869166863,3.422660585238577
rice,2011,Mexico,8,0.01903781437456295,0.5006605184903248,0.156,0.8260000000000001,,0.6061265357025724,-8.693799275516726,-0.001833835823925365,5.7532495205625445,-0.19313289146294982
rice,2006,Nigeria,8,0.0,3.4131620489218504,0.616,4.04,0.0,0.8448420913172897,,,,
rice,2007,Nigeria,8,0.0,3.5619521466107456,0.324,4.1,,0.8687688162465234,-6.462559940981187,0.0,1.327923275544071,3.2930305648593547
rice,2008,Nigeria,8,0.0,3.2227257558818074,0.486,4.22,,0.7636790890715184,3.5853928439690144,0.0,2.6558465510881613,-7.507776998796121
rice,2009,Nigeria,8,0.0,3.517411820361742,0.12,4.3500000000000005,,0.8086004184739636,-8.100331980818885,0.0,2.87716709701219,6.522008066689813
rice,2010,Nigeria,8,0.0,3.282218072578306,0.538,4.8,0.0,0.6837954317871471,9.251198819623756,0.0,9.959424566580582,-5.20532086573448
rice,2011,Nigeria,8,0.0,3.4915658902196673,1.044,5.6000000000000005,0.0,0.6234939089677977,11.198819623755071,0.0,17.705643673921077,4.633297328838689
rice,2006,RestOfWorld,8,10.279987498803525,110.49574313249573,15.04399999999999,114.11400000000003,0.6833280709122262,0.968292612058956,,,,
rice,2007,RestOfWorld,8,11.974141673312054,107.51975056512032,15.795999999999992,117.6529999999999,0.7580489790650836,0.9138717292811948,0.6216888386736775,1.4005807729845305,2.925740425619759,-2.4602943658419028
rice,2008,RestOfWorld,8,18.116575688314054,103.27575814455658,17.29100000000001,119.781,1.0477459770004074,0.8622048417074208,1.2359372524164314,5.078035464649301,1.7592471392255897,-3.508567445851268
rice,2009,RestOfWorld,8,21.12451619158273,103.78734457541866,15.972999999999985,121.25799999999992,1.3225140043562733,0.8559216264116076,-1.0896088954413838,2.4867061679210307,1.2210564025544788,0.4229356038349176
