year,month,grain,model_price,subst_scale,leg,obs_price
2008,5,maize,166.95496602876597,0.6,subst_on,236.84222321828776
2008,6,maize,168.5898345218313,0.6,subst_on,279.2501120573734
2008,7,maize,170.4683303627868,0.6,subst_on,258.0461676378306
2008,8,maize,173.70153298769117,0.6,subst_on,228.57463021066783
2008,9,maize,167.81626345509386,0.6,subst_on,227.40744060959213
2008,10,maize,157.6074871332131,0.6,subst_on,178.09367996414164
2008,11,maize,152.68939512449498,0.6,subst_on,159.32138054684
2008,12,maize,156.15617765005743,0.6,subst_on,153.97176154190947
2009,1,maize,158.19781772724698,0.6,subst_on,179.16906344410876
2009,2,maize,158.04584503433188,0.6,subst_on,169.4225981873112
2009,3,maize,156.22901075651424,0.6,subst_on,170.66682779456193
2009,4,maize,153.71107760304307,0.6,subst_on,174.7105740181269
2009,5,maize,151.29838560420518,0.6,subst_on,186.53075528700907
2009,6,maize,149.40644596074765,0.6,subst_on,186.11601208459217
2009,7,maize,148.3079372928276,0.6,subst_on,157.18767371601209
2009,8,maize,148.49800266463652,0.6,subst_on,157.602416918429
2009,9,maize,146.09354134361064,0.6,subst_on,155.94344410876133
2009,10,maize,142.16436096915533,0.6,subst_on,173.46634441087613
2009,11,maize,139.1050518787132,0.6,subst_on,177.924833836858
2009,12,maize,137.3561471182369,0.6,subst_on,170.66682779456193
2010,1,maize,136.37024817718557,0.6,subst_on,167.3
2010,2,maize,135.86003679259775,0.6,subst_on,161.8
2010,3,maize,135.59640582479875,0.6,subst_on,159.0
2010,4,maize,135.42148503806507,0.6,subst_on,157.1
2010,5,maize,135.27168238390908,0.6,subst_on,163.4
2010,6,maize,135.35012155020632,0.6,subst_on,152.7
2010,7,maize,135.48082502864258,0.6,subst_on,163.8
2010,8,maize,135.63815630382263,0.6,subst_on,175.6
2010,9,maize,135.37616483169262,0.6,subst_on,205.9
2010,10,maize,135.00985623905768,0.6,subst_on,235.8
2010,11,maize,134.03829367272112,0.6,subst_on,238.2
2010,12,maize,131.43843941330536,0.6,subst_on,250.4
2011,1,maize,130.70629957558805,0.6,subst_on,238.5643812135756
2011,2,maize,130.28065284916164,0.6,subst_on,263.78069934864584
2011,3,maize,130.11913243432576,0.6,subst_on,261.61930065135414
2011,4,maize,130.11381621965552,0.6,subst_on,287.556085018855
2011,5,maize,130.06012324182717,0.6,subst_on,277.28944120671923
2011,6,maize,130.24937061274125,0.6,subst_on,279.72101474117244
2011,7,maize,130.18342263942156,0.6,subst_on,270.89530339389785
2011,8,maize,129.674828320723,0.6,subst_on,279.36078162495716
2011,9,maize,129.9289034917857,0.6,subst_on,265.9420980459376
2011,10,maize,130.70384460545,0.6,subst_on,247.480150839904
2011,11,maize,131.19457633767507,0.6,subst_on,247.1199177236887
2011,12,maize,131.32502470195783,0.6,subst_on,232.8907096331848
2006,1,wheat,236.8729486848629,0.0,subst_off,185.92291666666668
2006,2,wheat,242.6704597740253,0.0,subst_off,199.9338541666667
2006,3,wheat,246.6034033110561,0.0,subst_off,193.92916666666667
2006,4,wheat,275.72424683278643,0.0,subst_off,200.48984375000003
2006,5,wheat,279.41568972008145,0.0,subst_off,214.834375
2006,6,wheat,250.8409165085668,0.0,subst_off,217.05833333333337
2006,7,wheat,237.21348846966671,0.0,subst_off,225.06458333333336
2006,8,wheat,235.23322548504842,0.0,subst_off,211.16484375
2006,9,wheat,268.75437809884363,0.0,subst_off,217.94791666666669
2006,10,wheat,748.5548156434354,0.0,subst_off,235.85078125
2006,11,wheat,755.0481775710082,0.0,subst_off,233.18203125
2006,12,wheat,550.6979250546365,0.0,subst_off,227.17734375000003
2007,1,wheat,396.3268582858849,0.0,subst_off,205.47468652037617
2007,2,wheat,302.2938741232473,0.0,subst_off,209.56112852664577
2007,3,wheat,281.2537359494375,0.0,subst_off,208.61810344827583
2007,4,wheat,503.76904736724555,0.0,subst_off,207.77985893416923
2007,5,wheat,572.5906660712897,0.0,subst_off,205.05556426332285
2007,6,wheat,386.82975932512454,0.0,subst_off,233.66065830721
2007,7,wheat,296.9154684513613,0.0,subst_off,249.79686520376177
2007,8,wheat,253.82117626276687,0.0,subst_off,272.1151253918495
2007,9,wheat,234.96242745236867,0.0,subst_off,342.1085423197492
2007,10,wheat,224.71789262647718,0.0,subst_off,351.11967084639497
2007,11,wheat,218.14203095697653,0.0,subst_off,337.183855799373
2007,12,wheat,215.00937171429132,0.0,subst_off,386.22115987460813
2008,1,wheat,213.6198637380549,0.0,subst_off,360.5796625766871
2008,2,wheat,322.1642176220929,0.0,subst_off,413.3972392638037
2008,3,wheat,350.35667518863755,0.0,subst_off,427.6959202453988
2008,4,wheat,414.4483791494611,0.0,subst_off,352.31171779141107
2008,5,wheat,367.8481467864418,0.0,subst_off,319.82355828220864
2008,6,wheat,286.62376308710327,0.0,subst_off,339.08300613496937
2008,7,wheat,246.93500334309252,0.0,subst_off,319.2399386503067
2008,8,wheat,227.42531694791955,0.0,subst_off,320.30990797546013
2008,9,wheat,215.67482685766447,0.0,subst_off,287.5299386503068
2008,10,wheat,207.58547588295815,0.0,subst_off,230.91883435582824
2008,11,wheat,203.30804675125484,0.0,subst_off,220.60822085889572
2008,12,wheat,201.37466576480034,0.0,subst_off,214.09113496932517
2009,1,wheat,200.70436456536913,0.0,subst_off,247.8488621151272
2009,2,wheat,200.20814249531895,0.0,subst_off,232.9219544846051
2009,3,wheat,199.17390466444328,0.0,subst_off,239.45247657295852
2009,4,wheat,199.47825209042492,0.0,subst_off,242.0439535921464
2009,5,wheat,200.57705025793462,0.0,subst_off,271.06849620705043
2009,6,wheat,202.37155039272443,0.0,subst_off,265.98920124944226
2009,7,wheat,204.3886738716986,0.0,subst_off,233.12927264614015
2009,8,wheat,205.58910428023307,0.0,subst_off,218.09870593485053
2009,9,wheat,203.5672254768237,0.0,subst_off,198.09250334672024
2009,10,wheat,199.60177500615802,0.0,subst_off,206.07425256581885
2009,11,wheat,197.94714626375745,0.0,subst_off,218.7206604194556
2009,12,wheat,197.26160288018943,0.0,subst_off,213.84868362338244
2010,1,wheat,197.08473148738935,0.0,subst_off,201.2
2010,2,wheat,196.6753728566277,0.0,subst_off,194.0
2010,3,wheat,195.74462642353464,0.0,subst_off,191.1
2010,4,wheat,196.07352180860397,0.0,subst_off,192.9
2010,5,wheat,197.38874754031337,0.0,subst_off,181.6
2010,6,wheat,199.56824307461994,0.0,subst_off,157.7
2010,7,wheat,202.39219930664635,0.0,subst_off,195.8
2010,8,wheat,204.99006684458635,0.0,subst_off,246.2
2010,9,wheat,204.51740452241597,0.0,subst_off,271.7
2010,10,wheat,200.60474223455464,0.0,subst_off,270.2
2010,11,wheat,199.16013760714793,0.0,subst_off,274.1
2010,12,wheat,198.3290351601795,0.0,subst_off,306.5
2011,1,wheat,198.0621989900592,0.0,subst_off,294.07423332279484
2011,2,wheat,197.54824892612703,0.0,subst_off,313.43306987037624
2011,3,wheat,196.56539793833522,0.0,subst_off,285.16016440088526
2011,4,wheat,196.63125773036427,0.0,subst_off,302.6281378438192
2011,5,wheat,197.60822864200475,0.0,subst_off,319.9160290863105
2011,6,wheat,199.64822343942984,0.0,subst_off,293.8941511223522
