year,month,model_price,world_stock,obs_price,grain,subst_scale,leg
2023,10,933.3908225446604,194.8657622271746,517.0092107639515,rice,0.6,full
2023,11,873.5674719896351,202.44032455560716,524.0195051471916,rice,0.6,full
2023,12,829.3383732080754,181.59523726611576,564.3286978508216,rice,0.6,full
2021,1,421.83299930227156,113.91430051793309,498.1464106480471,rice,0.6,shocks
2021,2,418.4547947856247,72.87728101909755,509.1147719834169,rice,0.6,shocks
2021,3,421.3241856545186,43.162095360023095,479.8658084224307,rice,0.6,shocks
2021,4,429.6821139365659,30.652845476247883,452.44490508400605,rice,0.6,shocks
2021,5,437.3124725626068,25.826243385759955,450.6168448614444,rice,0.6,shocks
2021,6,449.29903045792724,28.746054444656934,425.93803185686227,rice,0.6,shocks
2021,7,460.17135459900044,45.28712872904289,378.4084660702597,rice,0.6,shocks
2021,8,443.06721694403655,81.08335481564092,368.3541348461706,rice,0.6,shocks
2021,9,414.37309725371637,132.65893492818043,365.6120445123281,rice,0.6,shocks
2021,10,396.93689736093665,175.818513926359,366.52607462360896,rice,0.6,shocks
2021,11,363.75283539226837,181.80279371119548,365.6120445123281,rice,0.6,shocks
2021,12,332.963779537214,159.91969240413567,365.6120445123281,rice,0.6,shocks
2022,1,342.217981951963,119.45861527758069,363.5560897435897,rice,0.6,shocks
2022,2,370.46703547542586,78.08795496798055,363.5560897435897,rice,0.6,shocks
2022,3,404.8217019132555,42.87388775839072,359.29899267399264,rice,0.6,shocks
2022,4,420.04029857633043,25.195714092433285,366.9617673992674,rice,0.6,shocks
2022,5,427.2141280417749,20.30764040866182,395.05860805860806,rice,0.6,shocks
2022,6,436.90913782810117,23.10192754737072,378.0302197802198,rice,0.6,shocks
2022,7,450.700596837902,39.10980103548589,355.893315018315,rice,0.6,shocks
2022,8,440.616624768838,74.47064200934673,366.9617673992674,rice,0.6,shocks
2022,9,414.57923170699013,125.81047732317857,373.7731227106227,rice,0.6,shocks
2022,10,390.31644845038534,169.08954173633938,366.9617673992674,rice,0.6,shocks
2022,11,368.4988959908245,175.7862623394484,374.6245421245422,rice,0.6,shocks
2022,12,356.0592740530267,155.17955051923104,397.6128663003663,rice,0.6,shocks
2023,1,385.89610527115747,115.66133965116121,453.0402745168864,rice,0.6,shocks
