crop,alloc,mp_alpha,mp_form,ask_rival,corr,h0708,h1011,obs_h0708,obs_h1011,markup_p95,markup_max,markup_min,twin_consistent
maize,source,2.7,exp,0.8,0.3190312919109011,2.0487097261482,1.9153297862364036,1.84,1.44,1.936472420455404,4.0,0.25,0.6466329611161541
maize,agrimate,0.0,-,0.8,0.7788085043829497,2.1549214518139665,1.704936276186881,1.84,1.44,1.0,1.0,1.0,2.660703072247543
maize,agrimate,0.0,-,0.0,0.48367314657454,1.4954448726955683,1.1610709358416098,1.84,1.44,1.0,1.0,1.0,2.660703072247543
maize,agrimate,2.7,exp,0.0,0.2815899565260676,1.5175011871217412,1.7441372676062443,1.84,1.44,1.9636128986028376,4.0,0.25,2.660703072247543
maize,shipped,0.85,exp,0.0,0.40747430352789066,1.458776058928174,1.3384905080740712,1.84,1.44,1.2363457489868226,1.9073850274534763,0.5077588290849661,0.0
maize,source,0.85,exp,0.0,0.3800624562882096,1.4610778962405193,1.3209587020597804,1.84,1.44,1.2434336905424945,1.821442763048062,0.5057528651567438,0.6466329611161541
rice,shipped,0.0,-,0.8,0.6777409747204022,1.7218949303223503,0.8204584882401206,1.84,0.79,1.0,1.0,1.0,0.0
rice,shipped,0.0,-,0.0,0.34185122446599775,1.0139820556042696,0.9109607989970506,1.84,0.79,1.0,1.0,1.0,0.0
rice,shipped,2.2,exp,0.0,0.35590729943021904,1.0301660127179848,0.9127886882161895,1.84,0.79,1.2797445450378155,4.0,0.39639265211959335,0.0
rice,shipped,2.2,exp,0.8,0.67160691374402,2.435622991740697,1.2990105014971671,1.84,0.79,1.667311328518594,4.0,0.38663311959104185,0.0
rice,source,0.0,-,0.8,0.6783417659217855,1.7213675933713213,0.8205219864284408,1.84,0.79,1.0,1.0,1.0,0.04669880786445191
rice,source,0.0,-,0.0,0.34210870825391826,1.0141648637496266,0.9119356341634662,1.84,0.79,1.0,1.0,1.0,0.04669880786445191
rice,source,2.2,exp,0.0,0.34896569460367344,1.0287565829245202,0.9021389399525418,1.84,0.79,1.2920792041786082,4.0,0.4022853274796485,0.04669880786445191
rice,source,2.2,exp,0.8,0.6217499344842902,2.422819373109594,1.3255721256057689,1.84,0.79,1.5764508211209667,4.0,0.38760086848798364,0.04669880786445191
rice,agrimate,0.0,-,0.8,0.6803043084409027,1.7311505935598992,0.8183985290136582,1.84,0.79,1.0,1.0,1.0,0.8874044957886724
rice,agrimate,0.0,-,0.0,0.36603786268651617,1.033890846562761,0.9368625205131816,1.84,0.79,1.0,1.0,1.0,0.8874044957886724
rice,agrimate,2.2,exp,0.0,0.5006290743289397,2.131293068073781,0.9516492458557415,1.84,0.79,1.4010424447867422,4.0,0.38814094462698107,0.8874044957886724
rice,shipped,0.95,exp,0.0,0.35973909171705093,1.017755472276467,0.9067031535765104,1.84,0.79,1.1062488928194125,2.585709659315846,0.6793457833084646,0.0
rice,source,0.95,exp,0.0,0.3572984748292739,1.01762833239925,0.9065998981631943,1.84,0.79,1.107937402372424,2.585709659315846,0.6814718779663388,0.04669880786445191
